id_artiste,nom_artiste,popularite,date_effet
4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,80,2022-09-07 15:30:42.664452
3MdXrJWsbVzdn6fe5JYkSQ,Latto,73,2022-09-07 15:30:43.249764
67MNhiAICFY6Pwc2YxCO0K,Elley Duhé,75,2022-09-07 15:30:43.888163
7f5Zgnp2spUuuzKplmRkt7,Lost Frequencies,77,2022-09-07 15:30:44.417238
6ydoSd3N2mwgwBHtF6K7eX,Calum Scott,77,2022-09-07 15:30:45.031784
790FomKkXshlbRYZFtlgla,KAROL G,87,2022-09-07 15:30:45.687566
6KImCVD70vtIoJWnq6nGn3,Harry Styles,91,2022-09-07 15:30:46.280548
716NhGYqD1jl2wI1Qkgq36,Bizarrap,87,2022-09-07 15:30:46.867201
52iwsT98xCoGgiGntTiR7K,Quevedo,85,2022-09-07 15:30:47.416431
4q3ewBCX7sLwd24euuV69X,Bad Bunny,100,2022-09-07 15:30:48.067537
37230BxxYs9ksS7OkZw3IU,Chencho Corleone,85,2022-09-07 15:30:48.693946
4q3ewBCX7sLwd24euuV69X,Bad Bunny,100,2022-09-07 15:30:49.459487
0tmwSHipWxN12fsoLcFU3B,Manuel Turizo,83,2022-09-07 15:30:50.080127
41MozSoPIsD1dJM0CLPjZF,BLACKPINK,84,2022-09-07 15:30:50.858632
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,87,2022-09-07 15:30:51.455736
64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,79,2022-09-07 15:30:52.075024
7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,85,2022-09-07 15:30:52.695680
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,84,2022-09-07 15:30:53.266137
4q3ewBCX7sLwd24euuV69X,Bad Bunny,100,2022-09-07 15:30:54.017803
7bXgB6jMjp9ATFy66eO08Z,Chris Brown,87,2022-09-07 15:30:54.636487
3MZsBdqDrRTJihTHQrO6Dq,Joji,85,2022-09-07 15:30:55.202622
57vWImR43h4CaDao012Ofp,Steve Lacy,84,2022-09-07 15:30:55.867523
1aSxMhuvixZ8h9dK9jIDwL,Kate Bush,80,2022-09-07 15:30:56.408849
4q3ewBCX7sLwd24euuV69X,Bad Bunny,100,2022-09-07 15:30:57.013117
5n9bMYfz9qss2VOW89EVs2,Bomba Estéreo,78,2022-09-07 15:30:57.605452
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,86,2022-09-07 15:30:58.213686
46xBNx0j6cwY6sD9LgMTm1,Rosa Linn,76,2022-09-07 15:30:58.865176
4q3ewBCX7sLwd24euuV69X,Bad Bunny,100,2022-09-07 15:30:59.476536
